Faktor,Tingkat_Kepentingan
Curricular_units_2nd_sem_approved,0.12774788282654334
Curricular_units_1st_sem_approved,0.0891003132174555
Curricular_units_2nd_sem_grade,0.08907876974332084
Curricular_units_1st_sem_grade,0.06551657435328559
Admission_grade,0.04000381275169974
Age_at_enrollment,0.03854022504427321
Curricular_units_2nd_sem_evaluations,0.03802767166397184
Previous_qualification_grade,0.035135114320376595
Curricular_units_1st_sem_evaluations,0.034020105340023366
Tuition_fees_up_to_date_1,0.03401156099626949
